Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
GO-48,Shannon And The Clams,Sleep Talk,1-2-3-4 GO! Records,"LP, Album, Ltd, RP, Cle",,2015,7112277,"LP - 12""",2016-07-10 23:20:41,,,
if10,Stereolab,Dots And Loops,1972,"2xLP, Album, RE",,2013,4278216,"LP - 12""",2016-02-13 23:25:54,,,
T-593,Jerry Goldsmith,Alien (Original Soundtrack From The Twentieth Century-Fox Film),20th Century Fox Records,"LP, Album",,1979,728368,"LP - 12""",2016-12-24 22:25:13,,,
2MR-011,Kedr Livanskiy,Солнце Января,2MR,"12"", EP",,2016,8220186,"LP - 12""",2017-11-21 03:22:03,,,
2MR-029,Kedr Livanskiy,Ariadna,2MR,"LP, Album",,2017,10806452,"LP - 12""",2017-11-21 03:21:37,,,
4M506,The Slits,Cut,4 Men With Beards,"LP, Album, RE, 180",,2005,1355714,"LP - 12""",2016-10-23 22:25:51,,,
4M508,Wire,Pink Flag,4 Men With Beards,"LP, Album, RE",,2006,864009,"LP - 12""",2017-11-05 00:42:34,,,
4M532,Shop Assistants,Shop Assistants,4 Men With Beards,"LP, Album, RE, 180",,2012,3598929,"LP - 12""",2015-09-14 03:53:57,,,
4-45401,Unrest (2),Perfect Teeth,4AD,"Cass, Album",,1993,8455552,Cassettes,2017-09-30 20:49:13,,,
4AD0046,U.S. Girls,In A Poem Unlimited,4AD,"LP, Album",,2018,11564458,"LP - 12""",2018-08-11 23:20:27,,,
4AD0089LP,Deerhunter,Why Hasn't Everything Already Disappeared?,4AD,"LP, Album, Gre",,2019,13074213,"LP - 12""",2019-02-02 23:50:26,,,
AD 2912,Camera Obscura,French Navy,4AD,"7"", Single",5,2009,1730404,"7""",2018-10-02 00:48:08,,,
BAD 5,Rema-Rema,Wheel In The Roses,4AD,"12"", RE",,1986,1077494,"LP - 12""",2015-09-14 06:09:36,,,
CAD 2215,The Mountain Goats,Tallahassee,4AD,"LP, Album",,2008,1315093,"LP - 12""",2019-04-14 23:48:21,,,
CAD 2409,Blonde Redhead,Misery Is A Butterfly,4AD,"LP, Album",,2004,533293,"LP - 12""",2017-02-05 06:24:07,,,
cad 2603,Scott Walker,The Drift,4AD,"2xLP, Album, RE",,2012,3719929,"LP - 12""",2016-03-17 04:27:19,,,
CAD 2717,Blonde Redhead,23,4AD,"LP, Album",,2007,975245,"LP - 12""",2015-09-09 05:08:45,,,
CAD 2916,The Big Pink,A Brief History Of Love,4AD,"2xLP, Album + 12"", S/Sided, Etch",,2009,1973027,"LP - 12""",2015-09-09 05:00:21,,,
CAD 3307,Deerhunter,Monomania,4AD,"LP, Album",,2013,4531854,"LP - 12""",2015-09-13 23:59:17,,,
CAD 3402,Future Islands,Singles,4AD,"LP, Album",,2014,5495019,"LP - 12""",2015-09-10 04:10:53,,,
CAD 3503,Holly Herndon,Platform,4AD,"2xLP, Album, RP",,2016,8923191,"LP - 12""",2019-11-16 18:29:12,,,
CAD 3X38,Deerhunter,Halcyon Digest,4AD,"LP, Album, Whi",,2010,2460386,"LP - 12""",2015-09-19 07:29:56,,,
CAD 412,Cocteau Twins,Treasure,4AD,"LP, Album",,1984,63993,"LP - 12""",2015-09-09 05:42:13,,,
CAD3130,Atlas Sound,Parallax,4AD,"LP, Album",,2011,3197894,"LP - 12""",2018-11-26 19:46:54,,,"Grimey's, Nashville"
CAD3218,Purity Ring,Shrines,4AD,"LP, Album, Ltd, Tea + CD, Album",,2012,3895942,"LP - 12""",2015-09-11 03:03:34,,,
CAD3230,Ariel Pink's Haunted Graffiti,Mature Themes,4AD,"LP, Album",,2012,3885548,"LP - 12""",2015-09-19 07:10:30,,,
CAD3430,Merchandise (2),After The End,4AD,"LP, Ltd, Gre",,2014,6024108,"LP - 12""",2015-09-14 02:02:26,,,
CAD3440,Ariel Pink,Pom Pom,4AD,"2xLP, Album",,2014,6249954,"LP - 12""",2015-09-19 07:01:29,,,
CAD3521,Deerhunter,Fading Frontier,4AD,"LP, Album",,2015,7603180,"LP - 12""",2016-05-16 01:03:59,,,
CAD3535,Grimes (4),Art Angels,4AD,"LP, Album",,2015,7816932,"LP - 12""",2015-12-14 04:48:12,,,
CAD3X15,Ariel Pink's Haunted Graffiti,Before Today,4AD,"LP, Album",,2010,2305175,"LP - 12""",2016-06-26 00:29:15,,,
CADC 3402,Future Islands,Singles,4AD,"Cass, Album",,2014,6002136,Cassettes,2017-09-30 20:22:36,,,
"CAD3208, CAD 3208",Grimes (4),Visions,"4AD, 4AD","LP, Album",,2012,3419668,"LP - 12""",2015-10-25 03:36:16,,,
"BAD2905, KRANK133",Deerhunter,Rainwater Cassette Exchange,"4AD, Kranky","12"", EP",,2009,1813272,"LP - 12""",2015-09-14 00:00:51,,,
90269-1,This Mortal Coil,It'll End In Tears,"4AD, Valentino Records, ATCO Records","LP, Album",,1985,547938,"LP - 12""",2020-09-28 00:14:08,,,
GER016,Xiu Xiu,Knife Play,5 Rue Christine,"CD, Album",,2002,339496,CD,2015-02-24 00:11:56,,,
GER024,Xiu Xiu,A Promise,5 Rue Christine,CD,,2003,258253,CD,2015-02-24 00:12:01,,,
GER031,Xiu Xiu,Fabulous Muscles,5 Rue Christine,"CD, Album",,2004,394443,CD,2015-08-16 03:41:24,,,
GER063,Xiu Xiu,The Air Force,5 Rue Christine,"LP, Album",,2006,869800,"LP - 12""",2014-03-26 04:23:42,,,
"GER 038, GER-038",Xiu Xiu And Devendra Banhart,Xiu Xiu And Devendra Banhart,"5 Rue Christine, 5 Rue Christine","7"", Single",5,2005,581370,"7""",2014-03-26 04:29:15,,,
"GER 038, GER-038",Xiu Xiu And Devendra Banhart,Xiu Xiu And Devendra Banhart,"5 Rue Christine, 5 Rue Christine","7"", Single, Pin",5,2005,4614287,"7""",2014-03-26 04:29:26,,,
"GER 038, GER-038",Xiu Xiu And Devendra Banhart,Xiu Xiu And Devendra Banhart,"5 Rue Christine, 5 Rue Christine","7"", Single, Pur",5,2005,4920192,"7""",2014-03-26 04:29:20,,,
"GER 038, GER-038",Xiu Xiu And Devendra Banhart,Xiu Xiu And Devendra Banhart,"5 Rue Christine, 5 Rue Christine","7"", Single, Blu",5,2005,7368218,"7""",2015-09-14 21:33:48,,,
AGARR 8T,Talulah Gosh,Talulah Gosh,53rd & 3rd,"12""",,1987,1204745,"LP - 12""",2015-09-14 04:56:23,,,
"AGARR  4/5T, AGARR  45T",Talulah Gosh,Steaming Train E.P.,"53rd & 3rd, 53rd & 3rd","12"", EP",,1986,780132,"LP - 12""",2015-09-14 04:56:16,,,
540-038,Merchandise (2) / Destruction Unit / Milk Music,USA '13,540 Records,"12"", Ltd",,2014,5614289,"LP - 12""",2015-09-14 06:48:29,,,
"625109, BN-07",Iron Lung,Life.  Iron Lung.  Death.,"625 Thrashcore, Boredom Noise","12"", Album",,2004,2279160,"LP - 12""",2015-09-14 01:04:27,,,
"625# 9, T-61",Various,Possessed To Skate,"625 Thrashcore, Pessimiser Records, Theologian Records","LP, Comp",,1997,1112552,"LP - 12""",2015-09-14 19:50:20,,,
2564689052,Little Boots,Hands,"679, Atlantic","LP, Album, Ltd, Gal",,2009,1802544,"LP - 12""",2018-01-16 02:06:35,,,
ACOLOUR014,Blueboy,Unisex,A Colourful Storm,"LP, Album, RE",,2019,14434432,"LP - 12""",2020-02-16 17:44:46,,,
TURN 26,Boyracer,The Racer 100 EP,A Turntable Friend,"7"", Bro",5,1996,4049803,"7""",2016-07-02 03:19:22,,,
AZLP-0001,Melt-Banana,Charlie,A-Zap Records,"LP, Album",,1998,426337,"LP - 12""",2015-09-14 02:04:37,,,
